pokemon,id,species_id,height,weight,base_experience,type_1,type_2,attack,defense,hp,special_attack,special_defense,speed,ability_1,ability_2,ability_hidden,color_1,color_2,color_f,egg_group_1,egg_group_2,url_image,generation_id,evolves_from_species_id,evolution_chain_id,shape_id,shape,pokebase,pokedex
blastoise-mega,13,9,16,1011,284,water,NA,103,120,79,135,115,78,mega-launcher,NA,NA,#6890F0,NA,NA,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/009_f2.png,NA,NA,NA,NA,NA,blastoise,http://www.pokemon.com/us/pokedex/blastoise
caterpie,14,10,3,29,39,bug,NA,30,35,45,20,20,45,shield-dust,NA,run-away,#A8B820,NA,NA,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/010.png,1,NA,4,2,squiggle,caterpie,http://www.pokemon.com/us/pokedex/caterpie
metapod,15,11,7,99,72,bug,NA,20,55,50,25,25,30,shed-skin,NA,NA,#A8B820,NA,NA,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/011.png,1,10,4,2,squiggle,metapod,http://www.pokemon.com/us/pokedex/metapod
butterfree,16,12,11,320,178,bug,flying,45,50,60,90,80,70,compound-eyes,NA,tinted-lens,#A8B820,#A890F0,#A8AE52,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/012.png,1,11,4,13,bug-wings,butterfree,http://www.pokemon.com/us/pokedex/butterfree
weedle,17,13,3,32,39,bug,poison,35,30,40,20,20,50,shield-dust,NA,run-away,#A8B820,#A040A0,#A69A3F,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/013.png,1,NA,5,2,squiggle,weedle,http://www.pokemon.com/us/pokedex/weedle
kakuna,18,14,6,100,72,bug,poison,25,50,45,25,25,35,shed-skin,NA,NA,#A8B820,#A040A0,#A69A3F,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/014.png,1,13,5,2,squiggle,kakuna,http://www.pokemon.com/us/pokedex/kakuna
beedrill,19,15,10,295,178,bug,poison,90,40,65,45,80,75,swarm,NA,sniper,#A8B820,#A040A0,#A69A3F,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/015.png,1,14,5,13,bug-wings,beedrill,http://www.pokemon.com/us/pokedex/beedrill
beedrill-mega,20,15,140,405,223,bug,poison,150,40,65,15,80,145,adaptability,NA,NA,#A8B820,#A040A0,#A69A3F,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/015_f2.png,NA,NA,NA,NA,NA,beedrill,http://www.pokemon.com/us/pokedex/beedrill
pidgey,21,16,3,18,50,normal,flying,45,40,40,35,35,56,keen-eye,tangled-feet,big-pecks,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/016.png,1,NA,6,9,wings,pidgey,http://www.pokemon.com/us/pokedex/pidgey
pidgeotto,22,17,11,300,122,normal,flying,60,55,63,50,50,71,keen-eye,tangled-feet,big-pecks,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/017.png,1,16,6,9,wings,pidgeotto,http://www.pokemon.com/us/pokedex/pidgeotto
pidgeot,23,18,15,395,216,normal,flying,80,75,83,70,70,101,keen-eye,tangled-feet,big-pecks,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/018.png,1,17,6,9,wings,pidgeot,http://www.pokemon.com/us/pokedex/pidgeot
pidgeot-mega,24,18,220,505,261,normal,flying,80,80,83,135,80,121,no-guard,NA,NA,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/018_f2.png,NA,NA,NA,NA,NA,pidgeot,http://www.pokemon.com/us/pokedex/pidgeot
rattata,25,19,3,35,51,normal,NA,56,35,30,25,35,72,run-away,guts,hustle,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/019.png,1,NA,7,8,quadruped,rattata,http://www.pokemon.com/us/pokedex/rattata
raticate,26,20,7,185,145,normal,NA,81,60,55,50,70,97,run-away,guts,hustle,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/020.png,1,19,7,8,quadruped,raticate,http://www.pokemon.com/us/pokedex/raticate
spearow,27,21,3,20,52,normal,flying,60,30,40,31,31,70,keen-eye,NA,sniper,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/021.png,1,NA,8,9,wings,spearow,http://www.pokemon.com/us/pokedex/spearow
fearow,28,22,12,380,155,normal,flying,90,65,65,61,61,100,keen-eye,NA,sniper,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/022.png,1,21,8,9,wings,fearow,http://www.pokemon.com/us/pokedex/fearow
ekans,29,23,20,69,58,poison,NA,60,44,35,40,54,55,intimidate,shed-skin,unnerve,#A040A0,NA,NA,ground,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/023.png,1,NA,9,2,squiggle,ekans,http://www.pokemon.com/us/pokedex/ekans
arbok,30,24,35,650,153,poison,NA,85,69,60,65,79,80,intimidate,shed-skin,unnerve,#A040A0,NA,NA,ground,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/024.png,1,23,9,2,squiggle,arbok,http://www.pokemon.com/us/pokedex/arbok
pikachu,31,25,4,60,112,electric,NA,55,40,35,50,50,90,static,NA,lightning-rod,#F8D030,NA,NA,ground,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/025.png,1,172,10,8,quadruped,pikachu,http://www.pokemon.com/us/pokedex/pikachu
raichu,32,26,8,300,218,electric,NA,90,55,60,90,80,110,static,NA,lightning-rod,#F8D030,NA,NA,ground,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/026.png,1,25,10,6,upright,raichu,http://www.pokemon.com/us/pokedex/raichu
sandshrew,33,27,6,120,60,ground,NA,75,85,50,20,30,40,sand-veil,NA,sand-rush,#E0C068,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/027.png,1,NA,11,6,upright,sandshrew,http://www.pokemon.com/us/pokedex/sandshrew
sandslash,34,28,10,295,158,ground,NA,100,110,75,45,55,65,sand-veil,NA,sand-rush,#E0C068,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/028.png,1,27,11,6,upright,sandslash,http://www.pokemon.com/us/pokedex/sandslash
nidoran-f,35,29,4,70,55,poison,NA,47,52,55,40,40,41,poison-point,rivalry,hustle,#A040A0,NA,NA,monster,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/029.png,1,NA,12,8,quadruped,nidoran-female,http://www.pokemon.com/us/pokedex/nidoran-female
nidorina,36,30,8,200,128,poison,NA,62,67,70,55,55,56,poison-point,rivalry,hustle,#A040A0,NA,NA,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/030.png,1,29,12,8,quadruped,nidorina,http://www.pokemon.com/us/pokedex/nidorina
nidoqueen,37,31,13,600,227,poison,ground,92,87,90,75,85,76,poison-point,rivalry,sheer-force,#A040A0,#E0C068,#AF5F92,no-eggs,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/031.png,1,30,12,6,upright,nidoqueen,http://www.pokemon.com/us/pokedex/nidoqueen
nidoran-m,38,32,5,90,55,poison,NA,57,40,46,40,40,50,poison-point,rivalry,hustle,#A040A0,NA,NA,monster,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/032.png,1,NA,13,8,quadruped,nidoran-male,http://www.pokemon.com/us/pokedex/nidoran-male
nidorino,39,33,9,195,128,poison,NA,72,57,61,55,55,65,poison-point,rivalry,hustle,#A040A0,NA,NA,monster,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/033.png,1,32,13,8,quadruped,nidorino,http://www.pokemon.com/us/pokedex/nidorino
nidoking,40,34,14,620,227,poison,ground,102,77,81,85,75,85,poison-point,rivalry,sheer-force,#A040A0,#E0C068,#AF5F92,monster,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/034.png,1,33,13,6,upright,nidoking,http://www.pokemon.com/us/pokedex/nidoking
clefairy,41,35,6,75,113,fairy,NA,45,48,70,60,65,35,cute-charm,magic-guard,friend-guard,#EE99AC,NA,NA,fairy,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/035.png,1,173,14,6,upright,clefairy,http://www.pokemon.com/us/pokedex/clefairy
clefable,42,36,13,400,217,fairy,NA,70,73,95,95,90,60,cute-charm,magic-guard,unaware,#EE99AC,NA,NA,fairy,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/036.png,1,35,14,6,upright,clefable,http://www.pokemon.com/us/pokedex/clefable
vulpix,43,37,6,99,60,fire,NA,41,40,38,50,65,65,flash-fire,NA,drought,#F08030,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/037.png,1,NA,15,8,quadruped,vulpix,http://www.pokemon.com/us/pokedex/vulpix
ninetales,44,38,11,199,177,fire,NA,76,75,73,81,100,100,flash-fire,NA,drought,#F08030,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/038.png,1,37,15,8,quadruped,ninetales,http://www.pokemon.com/us/pokedex/ninetales
jigglypuff,45,39,5,55,95,normal,fairy,45,20,115,45,25,20,cute-charm,competitive,friend-guard,#A8A878,#EE99AC,#B8A484,fairy,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/039.png,1,174,16,12,humanoid,jigglypuff,http://www.pokemon.com/us/pokedex/jigglypuff
wigglytuff,46,40,10,120,196,normal,fairy,70,45,140,85,50,45,cute-charm,competitive,frisk,#A8A878,#EE99AC,#B8A484,fairy,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/040.png,1,39,16,12,humanoid,wigglytuff,http://www.pokemon.com/us/pokedex/wigglytuff
zubat,47,41,8,75,49,poison,flying,45,35,40,30,40,55,inner-focus,NA,infiltrator,#A040A0,#A890F0,#A153B3,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/041.png,1,NA,17,9,wings,zubat,http://www.pokemon.com/us/pokedex/zubat
golbat,48,42,16,550,159,poison,flying,80,70,75,65,75,90,inner-focus,NA,infiltrator,#A040A0,#A890F0,#A153B3,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/042.png,1,41,17,9,wings,golbat,http://www.pokemon.com/us/pokedex/golbat
oddish,49,43,5,54,64,grass,poison,50,55,45,75,65,30,chlorophyll,NA,run-away,#78C850,#A040A0,#81A763,plant,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/043.png,1,NA,18,7,legs,oddish,http://www.pokemon.com/us/pokedex/oddish
gloom,50,44,8,86,138,grass,poison,65,70,60,85,75,40,chlorophyll,NA,stench,#78C850,#A040A0,#81A763,plant,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/044.png,1,43,18,12,humanoid,gloom,http://www.pokemon.com/us/pokedex/gloom
vileplume,51,45,12,186,221,grass,poison,80,85,75,110,90,50,chlorophyll,NA,effect-spore,#78C850,#A040A0,#81A763,plant,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/045.png,1,44,18,12,humanoid,vileplume,http://www.pokemon.com/us/pokedex/vileplume
paras,52,46,3,54,57,bug,grass,70,55,35,45,55,25,effect-spore,dry-skin,damp,#A8B820,#78C850,#9CBB2B,bug,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/046.png,1,NA,19,14,armor,paras,http://www.pokemon.com/us/pokedex/paras
parasect,53,47,10,295,142,bug,grass,95,80,60,60,80,30,effect-spore,dry-skin,damp,#A8B820,#78C850,#9CBB2B,bug,plant,http://assets.pokemon.com/assets/cms2/img/pokedex/full/047.png,1,46,19,14,armor,parasect,http://www.pokemon.com/us/pokedex/parasect
venonat,54,48,10,300,61,bug,poison,55,50,60,40,55,45,compound-eyes,tinted-lens,run-away,#A8B820,#A040A0,#A69A3F,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/048.png,1,NA,20,12,humanoid,venonat,http://www.pokemon.com/us/pokedex/venonat
venomoth,55,49,15,125,158,bug,poison,65,60,70,90,75,90,shield-dust,tinted-lens,wonder-skin,#A8B820,#A040A0,#A69A3F,bug,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/049.png,1,48,20,13,bug-wings,venomoth,http://www.pokemon.com/us/pokedex/venomoth
diglett,56,50,2,8,53,ground,NA,55,25,10,35,45,95,sand-veil,arena-trap,sand-force,#E0C068,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/050.png,1,NA,21,5,blob,diglett,http://www.pokemon.com/us/pokedex/diglett
dugtrio,57,51,7,333,142,ground,NA,80,50,35,50,70,120,sand-veil,arena-trap,sand-force,#E0C068,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/051.png,1,50,21,11,heads,dugtrio,http://www.pokemon.com/us/pokedex/dugtrio
meowth,58,52,4,42,58,normal,NA,45,35,40,40,40,90,pickup,technician,unnerve,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/052.png,1,NA,22,8,quadruped,meowth,http://www.pokemon.com/us/pokedex/meowth
persian,59,53,10,320,154,normal,NA,70,60,65,65,65,115,limber,technician,unnerve,#A8A878,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/053.png,1,52,22,8,quadruped,persian,http://www.pokemon.com/us/pokedex/persian
psyduck,60,54,8,196,64,water,NA,52,48,50,65,50,55,damp,cloud-nine,swift-swim,#6890F0,NA,NA,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/054.png,1,NA,23,6,upright,psyduck,http://www.pokemon.com/us/pokedex/psyduck
golduck,61,55,17,766,175,water,NA,82,78,80,95,80,85,damp,cloud-nine,swift-swim,#6890F0,NA,NA,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/055.png,1,54,23,6,upright,golduck,http://www.pokemon.com/us/pokedex/golduck
mankey,62,56,5,280,61,fighting,NA,80,35,40,35,45,70,vital-spirit,anger-point,defiant,#C03028,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/056.png,1,NA,24,6,upright,mankey,http://www.pokemon.com/us/pokedex/mankey
primeape,63,57,10,320,159,fighting,NA,105,60,65,60,70,95,vital-spirit,anger-point,defiant,#C03028,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/057.png,1,56,24,6,upright,primeape,http://www.pokemon.com/us/pokedex/primeape
growlithe,64,58,7,190,70,fire,NA,70,45,55,70,50,60,intimidate,flash-fire,justified,#F08030,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/058.png,1,NA,25,8,quadruped,growlithe,http://www.pokemon.com/us/pokedex/growlithe
arcanine,65,59,19,1550,194,fire,NA,110,80,90,100,80,95,intimidate,flash-fire,justified,#F08030,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/059.png,1,58,25,8,quadruped,arcanine,http://www.pokemon.com/us/pokedex/arcanine
poliwag,66,60,6,124,60,water,NA,50,40,40,40,40,90,water-absorb,damp,swift-swim,#6890F0,NA,NA,water1,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/060.png,1,NA,26,7,legs,poliwag,http://www.pokemon.com/us/pokedex/poliwag
poliwhirl,67,61,10,200,135,water,NA,65,65,65,50,50,90,water-absorb,damp,swift-swim,#6890F0,NA,NA,water1,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/061.png,1,60,26,12,humanoid,poliwhirl,http://www.pokemon.com/us/pokedex/poliwhirl
poliwrath,68,62,13,540,230,water,fighting,95,95,90,70,90,70,water-absorb,damp,swift-swim,#6890F0,#C03028,#7D78BF,water1,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/062.png,1,61,26,12,humanoid,poliwrath,http://www.pokemon.com/us/pokedex/poliwrath
abra,69,63,9,195,62,psychic,NA,20,15,25,105,55,90,synchronize,inner-focus,magic-guard,#F85888,NA,NA,humanshape,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/063.png,1,NA,27,6,upright,abra,http://www.pokemon.com/us/pokedex/abra
kadabra,70,64,13,565,140,psychic,NA,35,30,40,120,70,105,synchronize,inner-focus,magic-guard,#F85888,NA,NA,humanshape,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/064.png,1,63,27,6,upright,kadabra,http://www.pokemon.com/us/pokedex/kadabra
alakazam,71,65,15,480,225,psychic,NA,50,45,55,135,95,120,synchronize,inner-focus,magic-guard,#F85888,NA,NA,humanshape,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/065.png,1,64,27,12,humanoid,alakazam,http://www.pokemon.com/us/pokedex/alakazam
alakazam-mega,72,65,12,480,266,psychic,NA,50,65,55,175,95,150,trace,NA,NA,#F85888,NA,NA,humanshape,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/065_f2.png,NA,NA,NA,NA,NA,alakazam,http://www.pokemon.com/us/pokedex/alakazam
machop,73,66,8,195,61,fighting,NA,80,50,70,35,35,35,guts,no-guard,steadfast,#C03028,NA,NA,humanshape,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/066.png,1,NA,28,6,upright,machop,http://www.pokemon.com/us/pokedex/machop
machoke,74,67,15,705,142,fighting,NA,100,70,80,50,60,45,guts,no-guard,steadfast,#C03028,NA,NA,humanshape,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/067.png,1,66,28,12,humanoid,machoke,http://www.pokemon.com/us/pokedex/machoke
machamp,75,68,16,1300,227,fighting,NA,130,80,90,65,85,55,guts,no-guard,steadfast,#C03028,NA,NA,humanshape,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/068.png,1,67,28,12,humanoid,machamp,http://www.pokemon.com/us/pokedex/machamp
bellsprout,76,69,7,40,60,grass,poison,75,35,50,70,30,40,chlorophyll,NA,gluttony,#78C850,#A040A0,#81A763,plant,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/069.png,1,NA,29,12,humanoid,bellsprout,http://www.pokemon.com/us/pokedex/bellsprout
weepinbell,77,70,10,64,137,grass,poison,90,50,65,85,45,55,chlorophyll,NA,gluttony,#78C850,#A040A0,#81A763,plant,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/070.png,1,69,29,5,blob,weepinbell,http://www.pokemon.com/us/pokedex/weepinbell
victreebel,78,71,17,155,221,grass,poison,105,65,80,100,70,70,chlorophyll,NA,gluttony,#78C850,#A040A0,#81A763,plant,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/071.png,1,70,29,5,blob,victreebel,http://www.pokemon.com/us/pokedex/victreebel
tentacool,79,72,9,455,67,water,poison,40,35,40,50,100,70,clear-body,liquid-ooze,rain-dish,#6890F0,#A040A0,#757CDC,water3,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/072.png,1,NA,30,10,tentacles,tentacool,http://www.pokemon.com/us/pokedex/tentacool
tentacruel,80,73,16,550,180,water,poison,70,65,80,80,120,100,clear-body,liquid-ooze,rain-dish,#6890F0,#A040A0,#757CDC,water3,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/073.png,1,72,30,10,tentacles,tentacruel,http://www.pokemon.com/us/pokedex/tentacruel
geodude,81,74,4,200,60,rock,ground,80,100,40,30,30,20,rock-head,sturdy,sand-veil,#B8A038,#E0C068,#C1A743,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/074.png,1,NA,31,4,arms,geodude,http://www.pokemon.com/us/pokedex/geodude
graveler,82,75,10,1050,137,rock,ground,95,115,55,45,45,35,rock-head,sturdy,sand-veil,#B8A038,#E0C068,#C1A743,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/075.png,1,74,31,12,humanoid,graveler,http://www.pokemon.com/us/pokedex/graveler
golem,83,76,14,3000,223,rock,ground,120,130,80,55,65,45,rock-head,sturdy,sand-veil,#B8A038,#E0C068,#C1A743,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/076.png,1,75,31,12,humanoid,golem,http://www.pokemon.com/us/pokedex/golem
ponyta,84,77,10,300,82,fire,NA,85,55,50,65,65,90,run-away,flash-fire,flame-body,#F08030,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/077.png,1,NA,32,8,quadruped,ponyta,http://www.pokemon.com/us/pokedex/ponyta
rapidash,85,78,17,950,175,fire,NA,100,70,65,80,80,105,run-away,flash-fire,flame-body,#F08030,NA,NA,ground,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/078.png,1,77,32,8,quadruped,rapidash,http://www.pokemon.com/us/pokedex/rapidash
slowpoke,86,79,12,360,63,water,psychic,65,65,90,40,40,15,oblivious,own-tempo,regenerator,#6890F0,#F85888,#8A82D6,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/079.png,1,NA,33,8,quadruped,slowpoke,http://www.pokemon.com/us/pokedex/slowpoke
slowbro,87,80,16,785,172,water,psychic,75,110,95,100,80,30,oblivious,own-tempo,regenerator,#6890F0,#F85888,#8A82D6,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/080.png,1,79,33,6,upright,slowbro,http://www.pokemon.com/us/pokedex/slowbro
slowbro-mega,88,80,200,1200,207,water,psychic,75,180,95,130,80,30,shell-armor,NA,NA,#6890F0,#F85888,#8A82D6,monster,water1,http://assets.pokemon.com/assets/cms2/img/pokedex/full/080_f2.png,NA,NA,NA,NA,NA,slowbro,http://www.pokemon.com/us/pokedex/slowbro
magnemite,89,81,3,60,65,electric,steel,35,70,25,95,55,45,magnet-pull,sturdy,analytic,#F8D030,#B8B8D0,#E8CA56,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/081.png,1,NA,34,4,arms,magnemite,http://www.pokemon.com/us/pokedex/magnemite
magneton,90,82,10,600,163,electric,steel,60,95,50,120,70,70,magnet-pull,sturdy,analytic,#F8D030,#B8B8D0,#E8CA56,mineral,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/082.png,1,81,34,11,heads,magneton,http://www.pokemon.com/us/pokedex/magneton
farfetchd,91,83,8,150,123,normal,flying,65,55,52,58,62,60,keen-eye,inner-focus,defiant,#A8A878,#A890F0,#A8A295,flying,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/083.png,1,NA,35,9,wings,farfetchd,http://www.pokemon.com/us/pokedex/farfetchd
doduo,92,84,14,392,62,normal,flying,85,45,35,35,35,75,run-away,early-bird,tangled-feet,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/084.png,1,NA,36,7,legs,doduo,http://www.pokemon.com/us/pokedex/doduo
dodrio,93,85,18,852,161,normal,flying,110,70,60,60,60,100,run-away,early-bird,tangled-feet,#A8A878,#A890F0,#A8A295,flying,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/085.png,1,84,36,7,legs,dodrio,http://www.pokemon.com/us/pokedex/dodrio
seel,94,86,11,900,65,water,NA,45,55,65,45,70,45,thick-fat,hydration,ice-body,#6890F0,NA,NA,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/086.png,1,NA,37,3,fish,seel,http://www.pokemon.com/us/pokedex/seel
dewgong,95,87,17,1200,166,water,ice,70,80,90,70,95,70,thick-fat,hydration,ice-body,#6890F0,#98D8D8,#73A1EA,water1,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/087.png,1,86,37,3,fish,dewgong,http://www.pokemon.com/us/pokedex/dewgong
grimer,96,88,9,300,65,poison,NA,80,50,80,40,50,25,stench,sticky-hold,poison-touch,#A040A0,NA,NA,indeterminate,NA,http://assets.pokemon.com/assets/cms2/img/pokedex/full/088.png,1,NA,38,4,arms,grimer,http://www.pokemon.com/us/pokedex/grimer
